13:39:06 web.1  | started with pid 4375
13:39:12 web.1  | 1187,-36.44148739,145.3961255
13:39:12 web.1  | 1192,-36.39654176,145.4318359
13:39:12 web.1  | 1218,-37.47406095,144.6396703
13:39:12 web.1  | 1223,-37.41030362,144.7493194
13:39:12 web.1  | 1228,-36.12374723,144.7530253
13:39:12 web.1  | 1233,-36.12785549,144.7306569
13:39:12 web.1  | 1175,-36.21442281,147.8481421
13:39:12 web.1  | 1180,-36.25511283,147.0148066
13:39:12 web.1  | 1185,-36.72886434,147.1520306
13:39:12 web.1  | 1190,-36.38056594,145.4318109
13:39:12 web.1  | 1216,-37.35244069,144.5688513
13:39:12 web.1  | 1221,-37.6889,145.03558
13:39:12 web.1  | 1226,-37.33870806,144.6034203
13:39:12 web.1  | 1231,-36.76123749,144.2836286
13:39:12 web.1  | 1238,-37.26292391,144.9536349
13:39:12 web.1  | 1243,-37.08192117,145.1774019
13:39:12 web.1  | 1100,-38.1925435,146.3262557
13:39:12 web.1  | 1108,-37.97815412,147.1642119
13:39:12 web.1  | 1113,-37.87986757,147.4227509
13:39:12 web.1  | 1118,-38.10156288,147.0931494
13:39:12 web.1  | 1125,-38.62537771,145.7109909
13:39:12 web.1  | 1142,-37.75635,144.82486
13:39:12 web.1  | 1159,-36.76139186,141.8962574
13:39:12 web.1  | 1168,-37.28855611,143.5334801
13:39:12 web.1  | 1101,-38.1925435,146.3262557
13:39:12 web.1  | 1109,-37.97815412,147.1642119
13:39:12 web.1  | 1114,-37.88146987,147.5592729
13:39:12 web.1  | 1119,-38.10156288,147.0931494
13:39:12 web.1  | 1128,-38.56576336,145.5598022
13:39:12 web.1  | 1148,-37.74618,144.8406
13:39:12 web.1  | 1160,-37.72449,144.86445
13:39:12 web.1  | 1169,-36.13072077,146.8982224
13:39:12 web.1  | 1239,-37.26292391,144.9536349
13:39:12 web.1  | 1246,-36.61070346,144.6529725
13:39:12 web.1  | 1257,-37.35542566,144.1013187
13:39:12 web.1  | 1274,-36.65197373,142.1445167
13:39:12 web.1  | 1283,-37.64518185,143.8658179
13:39:12 web.1  | 1290,-37.43440985,143.4048966
13:39:12 web.1  | 1295,-36.99057595,141.1287864
13:39:12 web.1  | 1306,-38.02164,145.31044
13:39:12 web.1  | 1320,-37.10044492,143.5160496
13:39:12 web.1  | 1240,-37.02614916,145.0647853
13:39:12 web.1  | 1247,-36.61070346,144.6529725
13:39:12 web.1  | 1266,-36.39242986,141.345868
13:39:12 web.1  | 1275,-36.65197373,142.1445167
13:39:12 web.1  | 1284,-37.81212476,144.0455369
13:39:12 web.1  | 1291,-37.43440985,143.4048966
13:39:12 web.1  | 1298,-36.73953239,142.0854049
13:39:12 web.1  | 1307,-38.02164,145.31044
13:39:12 web.1  | 1321,-37.10044492,143.5160496
13:39:12 web.1  | 1256,-37.35542566,144.1013187
13:39:12 web.1  | 1271,-36.42049095,141.9879423
13:39:12 web.1  | 1282,-37.64518185,143.8658179
13:39:12 web.1  | 1289,-37.08316661,142.1879677
13:39:12 web.1  | 1294,-36.99057595,141.1287864
13:39:12 web.1  | 1305,-36.7697822,142.2650907
13:39:12 web.1  | 1319,-38.02046585,145.3122559
13:39:12 web.1  | 1332,-36.73791005,144.1320033
13:39:12 web.1  | 1173,-36.21670591,147.199025
13:39:12 web.1  | 1178,-36.16000645,147.952479
13:39:12 web.1  | 1183,-36.55093812,147.0329441
13:39:12 web.1  | 1188,-36.44148739,145.3961255
13:39:12 web.1  | 1214,-36.80894427,144.1464437
13:39:12 web.1  | 1219,-37.47406095,144.6396703
13:39:12 web.1  | 1224,-37.35376544,144.7432035
13:39:12 web.1  | 1229,-36.12374723,144.7530253
13:39:12 web.1  | 1234,-37.53734855,145.3730633
13:39:12 web.1  | 1333,-36.73791005,144.1320033
13:39:12 web.1  | 1352,-37.56638377,149.1469065
13:39:12 web.1  | 1357,-36.36478349,144.7243298
13:39:12 web.1  | 1364,-36.35779587,144.7212149
13:39:12 web.1  | 1371,-36.74319707,144.2958506
13:39:12 web.1  | 1378,-37.08380241,144.3161565
13:39:12 web.1  | 1383,-37.47908477,144.5249989
13:39:12 web.1  | 1390,-37.11207396,144.0558513
13:39:12 web.1  | 1397,-36.72515012,143.8608138
13:39:12 web.1  | 1174,-36.21670591,147.199025
13:39:12 web.1  | 1179,-36.25511283,147.0148066
13:39:12 web.1  | 1184,-36.55093812,147.0329441
13:39:12 web.1  | 1189,-36.38056594,145.4318109
13:39:12 web.1  | 1215,-37.68799,145.02429
13:39:12 web.1  | 1220,-37.41581813,144.7491058
13:39:12 web.1  | 1225,-37.35376544,144.7432035
13:39:12 web.1  | 1230,-36.76123749,144.2836286
13:39:12 web.1  | 1235,-37.53734855,145.3730633
13:39:12 web.1  | 1342,-37.37250901,144.5949582
13:39:12 web.1  | 1353,-37.56638377,149.1469065
13:39:12 web.1  | 1360,-36.15498917,144.7876065
13:39:12 web.1  | 1365,-36.35779587,144.7212149
13:39:12 web.1  | 1372,-36.73108201,144.2958275
13:39:12 web.1  | 1379,-37.08380241,144.3161565
13:39:12 web.1  | 1384,-36.88876994,144.2144395
13:39:12 web.1  | 1391,-37.11207396,144.0558513
13:39:12 web.1  | 1398,-36.76079209,144.2453272
13:39:12 web.1  | 1351,-38.39465966,146.1450934
13:39:12 web.1  | 1356,-36.36478349,144.7243298
13:39:12 web.1  | 1363,-36.12476639,144.7185367
13:39:12 web.1  | 1370,-36.74319707,144.2958506
13:39:12 web.1  | 1375,-36.6919425,144.3190923
13:39:12 web.1  | 1382,-37.47908477,144.5249989
13:39:12 web.1  | 1389,-36.75891329,144.2458072
13:39:12 web.1  | 1396,-36.72515012,143.8608138
13:39:12 web.1  | 1401,-36.49975643,143.7329648
13:39:12 web.1  | 1241,-37.02614916,145.0647853
13:39:12 web.1  | 1252,-36.59526095,145.0465576
13:39:12 web.1  | 1267,-36.39242986,141.345868
13:39:12 web.1  | 1276,-36.42872844,142.0772421
13:39:12 web.1  | 1285,-37.81212476,144.0455369
13:39:12 web.1  | 1292,-37.02419881,142.7199588
13:39:12 web.1  | 1299,-36.73953239,142.0854049
13:39:12 web.1  | 1311,-38.03244,145.32238
13:39:12 web.1  | 1322,-37.12585662,143.4959107
13:39:12 web.1  | 1242,-37.08192117,145.1774019
13:39:12 web.1  | 1253,-36.59526095,145.0465576
13:39:12 web.1  | 1270,-36.42049095,141.9879423
13:39:12 web.1  | 1277,-36.42872844,142.0772421
13:39:12 web.1  | 1288,-37.08316661,142.1879677
13:39:12 web.1  | 1293,-37.02419881,142.7199588
13:39:12 web.1  | 1304,-36.7697822,142.2650907
13:39:12 web.1  | 1316,-38.01497269,145.3052216
13:39:12 web.1  | 1323,-37.12585662,143.4959107
13:39:12 web.1  | 1402,144.8763272,-37.73099457
13:39:12 web.1  | 1407,-37.72907363,144.8676383
13:39:12 web.1  | 1415,-37.72019975,144.8400025
13:39:12 web.1  | 1422,-35.52981575,142.8471599
13:39:12 web.1  | 1428,144.812155,-37.70229476
13:39:12 web.1  | 1433,-36.14565205,143.2254664
13:39:12 web.1  | 1447,-36.63076007,143.2205627
13:39:12 web.1  | 1455,-36.63347161,142.3049573
13:39:12 web.1  | 1470,-37.11007153,141.0373842
13:39:13 web.1  | 1403,-36.26284982,142.8544308
13:39:13 web.1  | 1408,144.8567158,-37.72667167
13:39:13 web.1  | 1416,-36.27861959,143.3971395
13:39:13 web.1  | 1423,-35.52981575,142.8471599
13:39:13 web.1  | 1429,-35.94127145,143.221242
13:39:13 web.1  | 1434,-37.73539236,144.9025902
13:39:13 web.1  | 1449,-37.80295944,145.1827393
13:39:13 web.1  | 1458,-37.81412888,145.2158661
13:39:13 web.1  | 1471,-37.11007153,141.0373842
13:39:13 web.1  | 1406,-36.39280381,143.0054227
13:39:13 web.1  | 1413,-36.23305821,143.3695559
13:39:13 web.1  | 1419,-36.40925399,143.6453699
13:39:13 web.1  | 1427,-35.93380671,143.2292417
13:39:13 web.1  | 1432,-36.14565205,143.2254664
13:39:13 web.1  | 1446,-36.63076007,143.2205627
13:39:13 web.1  | 1454,-36.63347161,142.3049573
13:39:13 web.1  | 1466,-37.84215546,145.2174072
13:39:13 web.1  | 1484,-37.89946747,145.2146606
13:39:13 web.1  | 1498,-37.2268266,144.4157319
13:39:13 web.1  | 1505,-36.72718601,144.2608563
13:39:13 web.1  | 1510,-36.77698156,144.3107513
13:39:13 web.1  | 1515,-36.77375013,144.310377
13:39:13 web.1  | 1520,-36.76282588,144.2807158
13:39:13 web.1  | 1531,-35.70355417,143.951848
13:39:13 web.1  | 1545,-38.01642227,145.1876068
13:39:13 web.1  | 1558,-36.26384767,142.3488766
13:39:13 web.1  | 1565,-37.66508292,144.4118781
13:39:13 web.1  | 1574,-38.09429169,145.1491852
13:39:13 web.1  | 1579,-34.22955972,141.9953604
13:39:13 web.1  | 1587,-37.89268875,145.1304626
13:39:13 web.1  | 1597,-38.59120077,143.7047851
13:39:13 web.1  | 1602,-38.29697936,143.1135843
13:39:13 web.1  | 1607,-38.3857732,142.8469081
13:39:13 web.1  | 1612,-38.60901698,142.8991899
13:39:13 web.1  | 1617,-37.84473801,145.0395355
13:39:13 web.1  | 1622,-37.84796906,145.0427704
13:39:13 web.1  | 1343,-37.37250901,144.5949582
13:39:13 web.1  | 1354,-36.35398982,144.6971397
13:39:13 web.1  | 1361,-36.15498917,144.7876065
13:39:13 web.1  | 1366,-36.75884091,144.3046116
13:39:13 web.1  | 1373,-36.73108201,144.2958275
13:39:13 web.1  | 1380,-37.07038648,144.2266279
13:39:13 web.1  | 1385,-36.88876994,144.2144395
13:39:13 web.1  | 1392,-36.78019926,144.2528579
13:39:13 web.1  | 1399,-36.76079209,144.2453272
13:39:13 web.1  | 1404,-35.97711205,142.8617182
13:39:13 web.1  | 1409,-36.35087801,142.9621825
13:39:13 web.1  | 1417,-36.27861959,143.3971395
13:39:13 web.1  | 1424,144.8196611,-37.70755353
13:39:13 web.1  | 1430,-36.07720648,143.2452731
13:39:13 web.1  | 1435,-37.04971195,143.7650518
13:39:13 web.1  | 1450,-36.62655541,142.5689278
13:39:13 web.1  | 1464,-37.82725906,145.2173004
13:39:13 web.1  | 1476,-37.85682297,145.2130585
13:39:13 web.1  | 1350,-38.39465966,146.1450934
13:39:13 web.1  | 1355,-36.35398982,144.6971397
13:39:13 web.1  | 1362,-36.12476639,144.7185367
13:39:13 web.1  | 1367,-36.75884091,144.3046116
13:39:13 web.1  | 1374,-36.6919425,144.3190923
13:39:13 web.1  | 1381,-37.07038648,144.2266279
13:39:13 web.1  | 1388,-36.75891329,144.2458072
13:39:13 web.1  | 1393,-36.78019926,144.2528579
13:39:13 web.1  | 1400,-36.49975643,143.7329648
13:39:13 web.1  | 1405,-35.97711205,142.8617182
13:39:13 web.1  | 1412,-36.23305821,143.3695559
13:39:13 web.1  | 1418,-36.40925399,143.6453699
13:39:13 web.1  | 1426,-35.93380671,143.2292417
13:39:13 web.1  | 1431,-36.07720648,143.2452731
13:39:13 web.1  | 1436,-37.73553319,144.9046049
13:39:13 web.1  | 1451,-36.62655541,142.5689278
13:39:13 web.1  | 1465,-37.10333351,141.0353776
13:39:13 web.1  | 1480,-37.87299347,145.2115936
13:39:13 web.1  | 1490,-37.18742363,144.3766888
13:39:13 web.1  | 1499,-37.2268266,144.4157319
13:39:13 web.1  | 1506,-37.93396378,145.2085571
13:39:13 web.1  | 1511,-36.77698156,144.3107513
13:39:13 web.1  | 1516,-36.78015395,144.2525335
13:39:13 web.1  | 1521,-37.95129013,145.203949
13:39:13 web.1  | 1532,-37.33179221,145.7121585
13:39:13 web.1  | 1550,-37.1664898,143.2169018
13:39:13 web.1  | 1559,-36.26384767,142.3488766
13:39:13 web.1  | 1568,-35.15900959,142.3970409
13:39:13 web.1  | 1491,-37.18742363,144.3766888
13:39:13 web.1  | 1502,-36.72336286,144.2577024
13:39:13 web.1  | 1507,-36.7577406,144.2693408
13:39:13 web.1  | 1512,-37.9513588,145.2035828
13:39:13 web.1  | 1517,-36.78015395,144.2525335
13:39:13 web.1  | 1528,-35.76430262,143.9316483
13:39:13 web.1  | 1533,-37.33179221,145.7121585
13:39:13 web.1  | 1551,-37.1664898,143.2169018
13:39:13 web.1  | 1562,-37.5610169,143.9205199
13:39:13 web.1  | 1569,-35.15900959,142.3970409
13:39:13 web.1  | 1496,-37.22316036,144.4188253
13:39:13 web.1  | 1503,-36.72336286,144.2577024
13:39:13 web.1  | 1508,-37.03044278,144.5308599
13:39:13 web.1  | 1513,-37.93885422,145.2073669
13:39:13 web.1  | 1518,-36.74750984,144.2789714
13:39:13 web.1  | 1529,-37.97278214,145.1940765
13:39:13 web.1  | 1537,-37.98838425,145.1929474
13:39:13 web.1  | 1552,-36.94960935,143.3438652
13:39:13 web.1  | 1627,-38.5127772,143.2226874
13:39:13 web.1  | 1635,-35.41497641,143.5884786
13:39:13 web.1  | 1640,-35.03430649,143.3272897
13:39:13 web.1  | 1648,-34.79811666,142.6204685
13:39:13 web.1  | 1653,-35.05864369,142.8608941
13:39:13 web.1  | 1665,-37.94364845,143.317545
13:39:13 web.1  | 1670,-38.17760303,143.2185286
13:39:13 web.1  | 1677,-38.04111597,143.6295345
13:39:13 web.1  | 1497,-37.22316036,144.4188253
13:39:13 web.1  | 1504,-37.92188263,145.2142487
13:39:13 web.1  | 1509,-37.03044278,144.5308599
13:39:13 web.1  | 1514,-36.77375013,144.310377
13:39:13 web.1  | 1519,-36.74750984,144.2789714
13:39:13 web.1  | 1530,-35.70355417,143.951848
